Salesman Code,Merge,Salesman BI,Product Group,April,May,June,July,August,September,October,November,December,January,February,March
5490000719,5490000719YY,5490000719,YY,98997.999998565487,86022.999998856903,83482.999998827072,102390.83333183554,112121.99999842244,106561.99999846781,142378.99999706598,113710.99999841298,127980.99999788674,118966.99999842612,95458.99999880002,126984.99999832052
5490000719,5490000719PDC,5490000719,PDC,44012.719799999992,14084.488799999999,31742.68139999999,37110.068999999989,25825.899599999986,40915.389599999973,37627.636799999993,74227.505999999994,56243.531999999992,17505.975599999994,23221.329599999997,58124.025599999972
5490000719,5490000719BD,5490000719,BD,30044.999999703727,30316.999999702261,33848.999999664447,32658.999999676791,31017.999999698419,32574.999999679963,52065.999999483349,32572.999999680917,35797.999999661406,40491.99999960453,32694.999999692085,48706.999999538195
5490000719,5490000719AJP,5490000719,AJP,15190.559999999998,13668.48,8648.6399999999976,15109.920000000004,17075.520000000004,18446.400000000005,22730.399999999998,25189.919999999998,15976.800000000001,13487.039999999999,17922.239999999998,18678.240000000002
5490000719,5490000719RM,5490000719,RM,7338.2,6477.9999999999982,7753.2000000000007,8052,7514.5999999999995,8457.7999999999993,8926.7999999999993,9548,8679.7999999999993,8656.2000000000007,8814.7999999999993,9398.2000000000007
5490000719,5490000719RDC,5490000719,RDC,6992.6400000000012,4440.96,6744.9600000000055,6969.6000000000095,7395.84,7781.7600000000011,7787.5200000000041,8369.2800000000025,6537.6000000000031,6935.0400000000018,7597.4400000000014,6808.3200000000033
5490000719,5490000719TKM,5490000719,TKM,6026.4000000000005,5023.2000000000007,5251.2000000000007,5880.0000000000009,5671.2000000000007,5227.2000000000007,6576,6466.8,8695.1999999999989,8346,6993.6,7842
5490000719,5490000719ND,5490000719,ND,3920.4,1306.8000000000002,1502.8200000000002,4778.8200000000006,3554.6399999999985,4556.8799999999992,3531.9600000000009,4510.6200000000008,3539.8800000000006,5222.3400000000011,3944.52,4258.62
5490000719,5490000719RKR,5490000719,RKR,4033.8,3780,2802.6000000000004,2683.8,4455,2219.4000000000005,4617,3942,2673,4249.8,4525.2,3564
5490000719,5490000719SWEET,5490000719,SWEET,396,,,,,,,,,,,
5490000718,5490000718YY,5490000718,YY,2082.9999999614161,3775.9999999208162,5597.9999998596932,4647.9999998820331,2562.9999999489,4409.9999998886251,5565.9999998635285,3296.9999999172715,4407.999999891922,2620.9999999443116,2137.9999999619999,2883.9999999329284
5490000718,5490000718AJ,5490000718,AJ,1538.6,1438.4,1355,1555.3,1514,1270.4000000000001,1123.0999999999999,1294.5999999999999,1179.8,3996,2151.6,2883.1
5490000718,5490000718BD,5490000718,BD,1416.9999999861893,2457.9999999760612,1373.9999999864517,2009.9999999801992,2119.9999999791175,1955.9999999805889,2269.9999999778574,1782.9999999825229,2184.9999999784613,1479.9999999854815,391.99999999651203,1203.9999999883316
